,단속장소,X,Y,단속건수
317,서울특별시 양천구 신월동 삼종레이빌아파트,126.8407342,37.5211503,23
318,서울특별시 양천구 신월동 신강초등학교,126.8416295,37.52597417,15
319,서울특별시 양천구 신월동 신월보람더하임,126.8371343,37.52480516,44
320,서울특별시 양천구 신월동 신월보람더하임2차아파트,126.8372952,37.52534938,35
321,서울특별시 양천구 신월동 아이파크위브,126.8386742,37.52481136,62
322,서울특별시 양천구 신월동 경창한의원,126.8415979,37.52429473,13
323,서울특별시 양천구 신월동 서울강서초등학교,126.84086,37.52261873,14
324,서울특별시 양천구 신월동 서울금융고등학교,126.825599,37.5378113,114
325,서울특별시 양천구 신정동 현대오일뱅크 양정주유소,126.8525764,37.52818135,15
326,서울특별시 양천구 신월동 월천리,126.8358699,37.52904536,31
327,서울특별시 양천구 목2동목동중앙북로107,126.8751835,37.54650466,27
328,서울특별시 양천구 목동 진도2차아파트,126.873797,37.5256918,17
329,서울특별시 양천구 목1동목동동로206-1,126.8723185,37.52383093,17
330,서울특별시 양천구 신월동 GS마트,126.8320471,37.51417925,1
331,서울특별시 양천구 신정동 서울영상고등학교,126.8600909,37.52332583,60
332,서울특별시 양천구 신월동 성실통운,126.8372924,37.52670281,20
333,서울특별시 양천구 신월동 우리은행,126.8436396,37.52238131,7
334,서울특별시 양천구 신월동 코아루1단지아파트,126.8295224,37.53178129,26
335,서울특별시 양천구 신월4동신월로9길 6,126.834302,37.5265885,16
336,서울특별시 양천구 신정동 하나은행,126.8530589,37.52072031,12
337,서울특별시 양천구 신정동 동국하우징화이트빌,126.8585044,37.52797144,13
338,서울특별시 양천구 목목동2차성원아파트,126.8641541,37.54228853,62
339,서울특별시 양천구 신월3동신원초교,126.8293552,37.54537221,83
340,서울특별시 양천구 신월5동68-12,126.8337614,37.53799407,13
341,서울특별시 양천구 신정 3동신정이펜하우스2단지 끝,126.855695,37.5151742,14
342,서울특별시 양천구 신정동 롯데캐슬아파트,126.874734,37.5202327,4
343,서울특별시 양천구 신정 4동목동로25길 2,126.8635693,37.52813729,19
344,서울특별시 양천구 신월동 신월동코아루1단지아파트,126.8296175,37.531854,24
345,서울특별시 양천구 신월동 798,126.8369447,37.53256447,35
346,서울특별시 양천구 목목동1단지아파트,126.88043,37.5377631,13
347,서울특별시 양천구 신정동 서울양목초등학교,126.8611615,37.52377444,23
348,서울특별시 양천구 목5동 현대파크빌 ,126.880252,37.5358528,159
349,서울특별시 양천구 신정동 양정주유소,126.8524658,37.52821173,16
350,서울특별시 양천구 목 동 924-1,126.8713404,37.52839366,30
351,서울특별시 양천구 신정동 1323-2 ,126.855921,37.5207607,15
352,서울특별시 양천구 신월동 서울금융고,126.8257388,37.5375219,32
353,서울특별시 양천구 목동 911-1,126.886722,37.5369675,1
354,서울특별시 양천구 신정동 323-1,126.8629928,37.51631785,38
355,서울특별시 양천구 신정동 326-3,126.862138,37.5114158,18
356,서울특별시 양천구 신정동 1323,126.855921,37.5207607,15
357,서울특별시 양천구 신월동 861,126.841819,37.5242293,8
358,서울특별시 양천구 목 동 326-4,126.874504,37.5360269,1
359,서울특별시 양천구 목동 913,126.881859,37.5351426,8
360,서울특별시 양천구 신월동 양천홈타운,126.8481117,37.52604393,21
361,서울특별시 양천구 신정동 1092,126.851925,37.5222874,30
362,서울특별시 양천구 신정동 보성팰리스,126.863186,37.5257429,19
363,서울특별시 양천구 목5동한신청구133동,126.8814376,37.54175118,13
364,서울특별시 양천구 신월동 월천리식당,126.835784,37.52901983,26
365,서울특별시 양천구 신정동 314-7,126.8686178,37.52167274,20
366,서울특별시 양천구 신정 목동아파트1018동,126.8637115,37.51959296,15
367,서울특별시 양천구 신정 4동신정중앙로62,126.855695,37.5151742,30
368,서울특별시 양천구 신정 3동신정로13길 22,126.855695,37.5151742,14
369,서울특별시 양천구 신정동 313,126.864023,37.5194099,29
370,서울특별시 양천구 신정동 331-2,126.873839,37.514159,63
371,서울특별시 양천구 목동 912,126.881859,37.5351426,63
372,서울특별시 양천구 목 동 327-2,126.874504,37.5360269,1
373,서울특별시 양천구 신월동 천성장로교회,126.8387717,37.52970994,33
374,서울특별시 양천구 신월동 라온원룸텔,126.8293795,37.53551808,18
375,서울특별시 양천구 신월동 KB국민은행,126.8339301,37.53433533,55
376,서울특별시 양천구 목동 방송회관,126.8713877,37.52709253,101
377,서울특별시 양천구 신월2동신남중학교,126.834302,37.5265885,14
378,서울특별시 양천구 목  목동동로 210,126.8715314,37.52439681,9
379,서울특별시 양천구 신정동 신정중앙로17길 1,126.859982,37.5270545,15
380,서울특별시 양천구 목2동도심소공원,126.8791913,37.54663932,26
381,서울특별시 양천구 신월동 자연공원,126.8292453,37.52352048,35
382,서울특별시 양천구 신정동 1127,126.8549636,37.52094569,22
383,서울특별시 양천구 목 동 921,126.8736362,37.52770507,8
384,서울특별시 양천구 신정 1동목동아파트1018동,126.855695,37.5151742,13
385,서울특별시 양천구 목 동 911,126.884371,37.5351902,14
386,서울특별시 양천구 신월7동강월초교,126.834302,37.5265885,13
