,단속일시,단속장소,X,Y
457,2020.2.10 15:44,서울특별시 양천구 신월동 삼종레이빌아파트,126.8407342,37.5211503
458,2020.2.10 15:45,서울특별시 양천구 신월동 셀프빨래방,우편번호없음,x좌표없음
459,2020.2.10 15:47,서울특별시 양천구 신월동 신강초등학교,126.8416295,37.52597417
461,2020.2.10 16:01,서울특별시 양천구 신월동 신월보람더하임,126.8371343,37.52480516
462,2020.2.10 16:01,서울특별시 양천구 신월동 신월보람더하임2차아파트,126.8372952,37.52534938
463,2020.2.10 16:31,서울특별시 양천구 신월동 아이파크위브,126.8386742,37.52481136
464,2020.2.11 10:32,서울특별시 양천구 신월동 경창한의원,126.8415979,37.52429473
465,2020.2.11 10:33,서울특별시 양천구 신월동 서울강서초등학교,126.84086,37.52261873
468,2020.2.11 16:16,서울특별시 양천구 신정동 현대오일뱅크 양정주유소,126.8525764,37.52818135
469,2020.2.11 16:37,서울특별시 양천구 신월동 월천리,126.8358699,37.52904536
470,2020.2.11 20:28,서울특별시 양천구 목2동목동중앙북로107,126.8751835,37.54650466
473,2020.2.12 13:07,서울특별시 양천구 목1동목동동로206-1,126.8723185,37.52383093
474,2020.2.13 10:31,서울특별시 양천구 신월동 GS마트,126.8320471,37.51417925
475,2020.2.13 15:48,서울특별시 양천구 신정동 서울영상고등학교,126.8600909,37.52332583
477,2020.2.13 16:09,서울특별시 양천구 신월동 성실통운,126.8372924,37.52670281
478,2020.2.13 16:18,서울특별시 양천구 신월동 우리은행,126.8436396,37.52238131
479,2020.2.13 16:41,서울특별시 양천구 신월동 코아루1단지아파트,126.8295224,37.53178129
482,2020.2.14 10:50,서울특별시 양천구 신정동 하나은행,126.8530589,37.52072031
483,2020.2.14 11:04,서울특별시 양천구 신정동 동국하우징화이트빌,126.8585044,37.52797144
484,2020.2.14 16:16,서울특별시 양천구 목목동2차성원아파트,126.8641541,37.54228853
485,2020.2.14 16:23,서울특별시 양천구 신월3동신원초교,126.8293552,37.54537221
487,2020.2.15 6:20,서울특별시 양천구 신월5동68-12,126.8337614,37.53799407
493,2020.2.18 16:31,서울특별시 양천구 신정 4동목동로25길 2,126.8635693,37.52813729
495,2020.2.18 17:12,서울특별시 양천구 신월동 신월동코아루1단지아파트,126.8296175,37.531854
498,2020.2.18 20:03,서울특별시 양천구 목동 이디야커피,우편번호없음,x좌표없음
499,2020.2.19 7:22,서울특별시 양천구 신월동 798,126.8369447,37.53256447
502,2020.2.19 17:13,서울특별시 양천구 신정동 서울양목초등학교,126.8611615,37.52377444
505,2020.2.20 11:10,서울특별시 양천구 신정동 양정주유소,126.8524658,37.52821173
506,2020.2.20 15:52,서울특별시 양천구 목 동 924-1,126.8713404,37.52839366
509,2020.2.21 10:16,서울특별시 양천구 신월동 서울금융고,126.8257388,37.5375219
512,2020.2.21 18:51,서울특별시 양천구 신정동 323-1,126.8629928,37.51631785
520,2020.2.24 16:27,서울특별시 양천구 신월동 양천홈타운,126.8481117,37.52604393
524,2020.2.25 23:22,서울특별시 양천구 목5동한신청구133동,126.8814376,37.54175118
525,2020.2.26 16:39,서울특별시 양천구 신월동 월천리식당,126.835784,37.52901983
526,2020.2.27 15:30,서울특별시 양천구 신정동 314-7,126.8686178,37.52167274
528,2020.2.28 10:22,서울특별시 양천구 신정 목동아파트1018동,126.8637115,37.51959296
537,2020.3.3 16:33,서울특별시 양천구 신월동 천성장로교회,126.8387717,37.52970994
538,2020.3.3 16:47,서울특별시 양천구 신월동 라온원룸텔,126.8293795,37.53551808
539,2020.3.3 16:48,서울특별시 양천구 신월동 KB국민은행,126.8339301,37.53433533
540,2020.3.3 16:51,서울특별시 양천구 목동 방송회관,126.8713877,37.52709253
544,2020.3.4 14:37,서울특별시 양천구 목  목동동로 210,126.8715314,37.52439681
547,2020.3.5 16:49,서울특별시 양천구 목2동도심소공원,126.8791913,37.54663932
548,2020.3.5 17:18,서울특별시 양천구 신월동 자연공원,126.8292453,37.52352048
549,2020.3.5 18:00,서울특별시 양천구 신정동 1127,126.8549636,37.52094569
551,2020.3.8 10:41,서울특별시 양천구 목 동 921,126.8736362,37.52770507
561,2020.3.12 16:18,서울특별시 양천구 신정동 1320-9,126.834256,37.5120284
566,2020.3.13 16:10,서울특별시 양천구 목동 GS25,126.872917,37.52546417
567,2020.3.14 10:03,서울특별시 양천구 목동 901,126.8794469,37.53938865
570,2020.3.17 16:34,서울특별시 양천구 신정동 KT,126.8613624,37.51674484
571,2020.3.17 16:57,서울특별시 양천구 신월동 와우빌딩,126.8242299,37.53567877
572,2020.3.18 6:09,서울특별시 양천구 목 동 901,126.8794147,37.53940566
577,2020.3.20 15:33,서울특별시 양천구 목2동소공원,126.8790499,37.54726562
578,2020.3.20 16:07,서울특별시 양천구 목동 하나은행,126.877306,37.53360219
579,2020.3.20 16:25,서울특별시 양천구 목목동초원성원아파트,126.8708634,37.53898423
586,2020.3.25 16:05,서울특별시 양천구 신월동 149-20,126.8267535,37.53055288
588,2020.3.26 10:37,서울특별시 양천구 신정동 롯데캐슬,126.847642,37.5202196
590,2020.3.28 21:38,서울특별시 양천구 신월동 273,126.8280149,37.53783654
605,2020.4.8 14:54,서울특별시 양천구 신정4동 1068,126.8607209,37.52856438
619,2020.4.13 18:52,서울특별시 양천구 신정4동 1094,126.862623,37.52232306
621,2020.4.15 1:16,서울특별시 양천구 신정동 1068,126.860796,37.52853885
623,2020.4.17 16:17,서울특별시 양천구 신월동 온누리약국,126.8333988,37.53324385
624,2020.4.17 20:38,서울특별시 양천구 신정동 327-4,126.8628013,37.51536093
637,2020.4.28 10:28,서울특별시 양천구 신월동 삼정그린뷰아파트,126.8382188,37.52302841
639,2020.4.28 16:59,서울특별시 양천구 신정1동 1127,126.8549422,37.52097972
641,2020.4.29 13:28,서울특별시 양천구 신정 4동오목로172,126.8565309,37.52512083
647,2020.5.6 17:12,서울특별시 양천구 신정동 우리은행,126.8585908,37.52301876
648,2020.5.6 21:10,서울특별시 양천구 목3동리치스퀘어,126.8657323,37.54943893
650,2020.5.7 13:02,서울특별시 양천구 신정 7동식자재마트,126.867126,37.5104793
652,2020.5.7 16:08,서울특별시 양천구 목1동벽산아파트 진입로,126.8685098,37.52806725
654,2020.5.9 14:58,서울특별시 양천구 목 동 603-25,126.866992,37.54994532
656,2020.5.10 11:12,서울특별시 양천구 신정7동 324-3,126.8610755,37.51564045
663,2020.5.14 15:12,서울특별시 양천구 신정 7동목동남로72,126.8670087,37.5100101
667,2020.5.18 14:47,서울특별시 양천구 신월3동남부순환로58길 43,126.8322088,37.52929489
669,2020.5.22 15:36,서울특별시 양천구 신정동 1113,126.8608683,37.52283435
689,2020.6.1 16:04,서울특별시 양천구 신월동 섬김교회,126.8334264,37.53808905
690,2020.6.2 16:50,서울특별시 양천구 신월동 이마트 신월점,126.8284635,37.53998272
691,2020.6.2 20:06,서울특별시 양천구 신정 4동신정중앙로60,126.8582838,37.52703017
712,2020.6.15 10:34,서울특별시 양천구 신월동 서울 양천구 신월동 896,126.8455876,37.52120762
723,2020.6.22 17:23,서울특별시 양천구 신정동 서울 양천구 신정동 1056,126.8551218,37.5276853
727,2020.6.26 18:41,서울특별시 양천구 신정 7동162-56,126.8711534,37.50884755
729,2020.6.30 20:18,서울특별시 양천구 목 동 837,126.8685686,37.5376622
731,2020.7.1 15:59,서울특별시 양천구 신정동 홍익병원 ,126.8636336,37.52860262
732,2020.7.1 21:10,서울특별시 양천구 목동 현대파크빌 ,126.8671648,37.54232325
733,2020.7.3 0:24,서울특별시 양천구 신정 4동신정중앙로61,126.8587163,37.527335
